Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2016-11-27 02:25:00.017;246;1;1;Nowy Targ
2016-11-27 02:25:01.620;785;0;0;Parking Hala Stulecia
2016-11-27 02:25:02.047;74;0;2;ul. św. Antoniego
2016-11-27 02:30:00.020;246;0;0;Nowy Targ
2016-11-27 02:30:01.357;785;0;0;Parking Hala Stulecia
2016-11-27 02:30:02.017;74;0;0;ul. św. Antoniego
2016-11-27 02:31:32.467;492;0;0;Renoma
2016-11-27 02:35:00.017;245;1;0;Nowy Targ
2016-11-27 02:35:01.900;74;0;0;ul. św. Antoniego
2016-11-27 02:35:02.133;785;0;0;Parking Hala Stulecia
2016-11-27 02:40:00.020;248;0;3;Nowy Targ
2016-11-27 02:40:01.817;76;0;1;ul. św. Antoniego
2016-11-27 02:40:01.907;785;0;0;Parking Hala Stulecia
2016-11-27 02:41:32.517;545;0;0;Renoma
2016-11-27 02:45:00.017;248;0;0;Nowy Targ
2016-11-27 02:45:01.533;785;0;0;Parking Hala Stulecia
2016-11-27 02:45:01.793;76;0;0;ul. św. Antoniego
2016-11-27 02:50:00.020;248;0;0;Nowy Targ
2016-11-27 02:50:01.243;786;0;1;Parking Hala Stulecia
2016-11-27 02:50:01.563;78;0;1;ul. św. Antoniego
2016-11-27 02:51:32.390;469;0;0;Renoma
2016-11-27 02:55:00.020;248;0;0;Nowy Targ
2016-11-27 02:55:01.370;80;0;1;ul. św. Antoniego
2016-11-27 02:55:02.223;786;0;0;Parking Hala Stulecia
2016-11-27 03:00:00.017;248;0;0;Nowy Targ
2016-11-27 03:00:01.227;80;0;0;ul. św. Antoniego
2016-11-27 03:00:01.917;786;0;0;Parking Hala Stulecia
2016-11-27 03:01:32.467;510;0;0;Renoma
2016-11-27 03:05:00.023;248;0;0;Nowy Targ
2016-11-27 03:05:01.897;786;0;0;Parking Hala Stulecia
2016-11-27 03:05:02.030;80;0;0;ul. św. Antoniego
2016-11-27 03:10:00.023;248;0;0;Nowy Targ
2016-11-27 03:10:01.570;786;0;0;Parking Hala Stulecia
